source_id,name,category,state,region,phone,email,website,address,eligibility,description,source_url,retrieved_at
funding:ndis,National Disability Insurance Scheme,disability funding,National,Australia,1800 800 110,,https://www.ndis.gov.au/,,"Generally for eligible people with permanent and significant disability who meet age, residency, disability or early intervention requirements.","Funding for reasonable and necessary disability supports, including support coordination, assistive technology and home modifications where criteria are met.",https://ndis.gov.au/applying/application-process/how-apply,2026-08-29
funding:services-australia-carer-payment,Carer Payment,Centrelink payment,National,Australia,132 717,,https://www.servicesaustralia.gov.au/carer-payment,,"For carers who provide constant care to a person with disability, a medical condition, or an adult who is frail aged, subject to Services Australia rules.",Income support payment for eligible carers whose caring role prevents full-time work.,https://www.servicesaustralia.gov.au/who-can-get-carer-payment?context=21816,2026-08-29
funding:services-australia-carer-allowance,Carer Allowance,Centrelink payment,National,Australia,132 717,,https://www.servicesaustralia.gov.au/carer-allowance,,"For eligible carers who provide daily care and attention to someone who needs it, subject to Services Australia rules.",Supplementary payment that may be available alongside other income support payments.,https://www.servicesaustralia.gov.au/who-can-get-carer-allowance?context=21811,2026-08-29
funding:services-australia-dsp,Disability Support Pension,Centrelink payment,National,Australia,132 717,,https://www.servicesaustralia.gov.au/disability-support-pension,,For people who meet both non-medical and medical rules for Disability Support Pension.,"Income support for eligible people with permanent physical, intellectual or psychiatric conditions that affect ability to work.",https://www.servicesaustralia.gov.au/who-can-get-disability-support-pension?context=22276,2026-08-29
funding:my-aged-care-support-at-home,Support at Home,aged care funding,National,Australia,1800 200 422,,https://www.myagedcare.gov.au/support-at-home,,For eligible older Australians after aged care assessment through My Aged Care.,"Support at Home includes services, equipment and home modifications for eligible people to remain at home.",https://www.myagedcare.gov.au/support-at-home,2026-08-29
funding:enablensw-eap,EnableNSW Equipment Allocation Program,state equipment scheme,NSW,New South Wales,1800 362 253,enable@health.nsw.gov.au,https://www.service.nsw.gov.au/transaction/apply-for-equipment-through-the-equipment-allocation-program-eap,,For eligible NSW residents with specific short-term or ongoing health needs; check EnableNSW criteria.,Provides new and refurbished equipment through EnableNSW for eligible people.,https://www.service.nsw.gov.au/transaction/apply-for-equipment-through-the-equipment-allocation-program-eap,2026-08-29
funding:qld-mass,Medical Aids Subsidy Scheme,state equipment scheme,QLD,Queensland,,,https://www.health.qld.gov.au/mass/subsidy-schemes,,For eligible Queenslanders with permanent or stable conditions or disabilities who meet MASS criteria.,"Subsidy funding for medical aids and equipment, including daily living, mobility, communication, continence and palliative equipment schemes.",https://www.health.qld.gov.au/mass/subsidy-schemes,2026-08-29
funding:vic-swep-vaep,Victorian Aids and Equipment Program / SWEP,state equipment scheme,VIC,Victoria,1300 747 937,swep@bhs.org.au,https://swep.bhs.org.au/,,For eligible Victorian residents with permanent disability or frailty who meet VA&EP/SWEP program rules.,"Subsidised aids, equipment and selected home or vehicle modification supports.",https://swep.bhs.org.au/check-eligibility.php,2026-08-29
funding:wa-caep,Community Aids and Equipment Program,state equipment scheme,WA,Western Australia,,,https://www.wa.gov.au/service/health-care/community-health-services/community-aids-and-equipment-program-caep,,"For eligible Western Australians with long-term health, disability or age-related functional impairment living at home.","Provides equipment and home modifications to support function, independence, safety and unpaid carers.",https://www.wa.gov.au/service/health-care/community-health-services/community-aids-and-equipment-program-caep,2026-08-29
funding:tas-tasequip,TasEquip,state equipment scheme,TAS,Tasmania,1300 827 387,,https://www.concessions.tas.gov.au/concessions/health/community_equipment_scheme_ces,,For eligible Tasmanians prescribed equipment by an authorised therapist or prescriber and meeting program criteria.,Provides a range of equipment to help eligible Tasmanians with everyday tasks at home.,https://www.concessions.tas.gov.au/concessions/health/community_equipment_scheme_ces,2026-08-29
