source_id,name,category,state,region,phone,email,website,address,eligibility,description,source_url,retrieved_at
service:mnd-australia,MND Australia,national_peak_body,National,Australia,,,https://www.mndaustralia.org.au/,,"People affected by MND, carers, families, clinicians and support workers.","National information and links to state MND associations, resources and advocacy.",https://www.mndaustralia.org.au/,2026-08-29
service:carer-gateway,Carer Gateway,carer_support,National,Australia,1800 422 737,,https://www.carergateway.gov.au/,,Unpaid carers in Australia.,"Carer counselling, coaching, peer support, respite and emergency respite pathways.",https://www.carergateway.gov.au/,2026-08-29
service:mnd-nsw,MND NSW,state_mnd_association,NSW/ACT/NT,"New South Wales, ACT and Northern Territory",1800 777 175,,https://www.mndnsw.org.au/,,"People with MND or Kennedy's disease, family carers and eligible support users.","MND advisors, intake, information, equipment pathways, support groups and links with MND clinics.",https://www.mndnsw.org.au/get-support.html,2026-08-29
service:mnd-qld,MND Queensland,state_mnd_association,QLD,Queensland,1800 777 175,info@mndqld.org.au,https://mndaq.org.au/Home.aspx,"1/89 Factory Road, Oxley, QLD, 4075","Queenslanders impacted by MND, families and carers.","Specialist MND support, health advisors, NDIS navigation, therapy, equipment hire and support groups.",https://mndaq.org.au/Home.aspx,2026-08-29
service:mnd-sa,MND South Australia,state_mnd_association,SA,South Australia,1800 777 175,,https://mndsa.org.au/,,"South Australians living with MND, carers, families and friends.","Information, education, support coordination, counselling, service coordination and aged care pathway support.",https://mndsa.org.au/how-we-help/support-coordination/,2026-08-29
service:mnd-victoria-equipment,MND Victoria Equipment Service,equipment_service,VIC,Victoria,1800 777 175,equipment@mnd.org.au,https://www.mnd.org.au/page/85/information-resources,"265 Canterbury Road, Canterbury, VIC, 3126",Equipment requests submitted by an appropriate allied health professional.,NDIS registered assistive technology provider with equipment request processes and equipment factsheets.,https://www.mnd.org.au/page/85/information-resources,2026-08-29
service:mnd-victoria,MND Victoria,state_mnd_association,VIC/TAS,"Victoria, Tasmania and border areas of NSW",1800 777 175,,https://www.mnd.org.au/,"265 Canterbury Road, Canterbury, VIC, 3126","People affected by MND or Kennedy's disease, families, carers, community workers and health professionals.","Support services, MND Guides, equipment service, carer and family support, support groups, education and volunteer support.",https://www.mnd.org.au/page/97/introduction-to-,2026-08-29
service:mnd-wa,MND Western Australia,state_mnd_association,WA,Western Australia,(08) 6186 4133,admin@mndawa.asn.au,https://www.mndawa.asn.au/,"Unit 1/184 Raleigh Street, Carlisle, WA, 6101","Western Australians impacted by MND, families and carers.","MND advisory service, support coordination, respiratory physiotherapy, equipment, occupational therapy, education and support groups.",https://www.mndawa.asn.au/,2026-08-29
service:carers-australia,Carers Australia,national_carer_peak_body,National,Australia,,caa@carersaustralia.com.au,https://www.carersaustralia.com.au/,"PO Box 5300, Braddon ACT 2612","Unpaid carers, carer organisations and policy/service stakeholders.","National peak body representing Australia's unpaid carers, with information and links to Carer Gateway and state carer organisations.",https://www.carersaustralia.com.au/support-for-carers/carer-gateway/,2026-08-29
service:healthdirect,Healthdirect Australia,health_information_service,National,Australia,1800 022 222,,https://www.healthdirect.gov.au/,,People in Australia seeking health information or service navigation.,"24-hour health information service and health service finder, including information on MND and caring for others.",https://www.healthdirect.gov.au/caring-for-others,2026-08-29
