source_id,name,category,supplier,state,image_url,product_url,description,eligibility,funding_notes,retrieved_at
equipment:flexequip-general,MND assistive equipment,equipment_service,FlexEquip,Australia,,https://www.flexequip.com.au/,"Equipment service relevant to MND needs such as mobility, bathroom, transfer, pressure care and communication equipment.",Check FlexEquip and state MND association criteria.,"May intersect with MND association support, NDIS, aged care or state equipment pathways.",2026-08-29
equipment:flexequip-nsw-act,FlexEquip assistive technology access,assistive_technology,FlexEquip,NSW/ACT,,https://www.flexequip.mndnsw.asn.au/getting-assistive-technology/5-who-can-get-assistive-technology,Assistive technology access for eligible adults with MND in NSW or ACT and eligible NDIS participants.,"Adults in NSW or ACT diagnosed with MND who need assistive technology, or eligible NDIS participants over 18 with AT funding.",Longer-term funding through funding bodies such as EnableNSW should be used where possible.,2026-08-29
equipment:mnd-victoria-equipment-request,MND Victoria equipment requests,assistive_technology,MND Victoria,VIC,,https://www.mnd.org.au/page/85/information-resources,Equipment request process for allied health professionals seeking MND Victoria equipment.,Request must be submitted by an appropriate allied health professional.,MND Victoria is an NDIS registered assistive technology provider.,2026-08-29
equipment:mnd-australia-at-home-mods,Assistive technology and home modifications for MND,mnd_equipment_guidance,MND Australia,National,,https://www.mndaustralia.org.au/mnd-connect/living-with-mnd/equipment-assistive-technology-home-modifications,"MND-specific guidance on wheelchairs, hoists, walking aids, ramps, electric beds, armchairs, pressure care mattresses, over-toilet aids, communication technology and home modifications.",People living with MND and their carers should seek assessment from allied health professionals and local MND associations.,"May involve local MND associations, NDIS, My Aged Care, home care packages, palliative care services, or state schemes.",2026-08-29
equipment:mnd-australia-respiratory,Respiratory equipment and NIV guidance,respiratory_equipment,MND Australia,National,,https://www.mndaustralia.org.au/mnd-connect/living-with-mnd/breathing-and-mnd,"Information about non-invasive ventilation, BiPAP/VPAP machines, masks, cough assistance, suction and respiratory planning for MND.",Respiratory equipment should be assessed and prescribed through the respiratory physician and MND care team.,"Funding and supply may involve health services, NDIS, MND associations, aged care or palliative services depending on age and circumstances.",2026-08-29
equipment:flexequip:one-off-specialised-armchairs-for-flexequip-ndis-bundle-participants-only,One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only,armchairs,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/armchairs/one-off-specialised-armchairs-for-flexequip-ndis-bundle-participants-only,One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Armchairs - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only # One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only ### ResMed homecare stand - EQ6981 ### Electric wheelchair basic - rear wheel drive Whill Model C - EQ6984 ### Shower commode - Self Propelled – Shower Buddy - EQ7449 ### Assistive Technology - Electric raiser recliner,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:bathroom,Bathroom,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom,Bathroom - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom # Bathroom ### Bedside commode chair ### Over toilet aid/Toilet surround ### Shower chair/Shower stool ### Shower commode ### Transfer bench - sliding ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode - One-Off specialised shower,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:bedside-commode-chair,Bedside commode chair,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/bedside-commode-chair,Bedside commode chair - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Bedside commode chair # Bedside commode chair ### Bedside commode chair ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only - Shower commode - attendant -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:over-toilet-aid-toilet-surround,Over toilet aid/Toilet surround,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/over-toilet-aid-toilet-surround,Over toilet aid/Toilet surround - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Over toilet aid/Toilet surround # Over toilet aid/Toilet surround ### Over toilet aid ### Toilet surround ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bedside commode chair - Shower chair/Shower stool - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:shower-chair-shower-stool,Shower chair/Shower stool,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/shower-chair-shower-stool,Shower chair/Shower stool - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Shower chair/Shower stool # Shower chair/Shower stool ### Shower chair ### Shower stool ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bedside commode chair - Over toilet aid/Toilet surround - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only - Shower commode -,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:shower-commode,Shower commode,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/shower-commode-tilt-in-space-copy,Shower commode - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Shower commode # Shower commode ### One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only ### Shower commode - attendant ### Shower commode - self propelled ### Shower commode - tilt in space ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bedside commode chair - Over toilet,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:one-off-specialised-shower-commodes-for-flexequip-ndis-bundle-participants-only,One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/shower-commode-tilt-in-space-copy/one-off-specialised-shower-commodes-for-flexequip-ndis-bundle-participants-only,One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Shower commode - One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only # One-Off specialised shower commodes for FlexEquip NDIS Bundle Participants Only ### Shower commode Accessory - Roho Commode Cushion - EQ6605 ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:shower-commode---attendant,Shower commode - attendant,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/shower-commode-tilt-in-space-copy/shower-commodes-copy,Shower commode - attendant - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Shower commode - Shower commode - attendant # Shower commode - attendant ### Shower commode - attendant - Aquatec ### Shower commode - attendant - KCare ### Shower Commode Accessory - Aquatec Soft Backrest Insert ### Shower Commode Accessory - Aquatec Soft Seat Insert ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:shower-commode---self-propelled,Shower commode - self propelled,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/shower-commode-tilt-in-space-copy/shower-commode-self-propelled,Shower commode - self propelled - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Shower commode - Shower commode - self propelled # Shower commode - self propelled ### Shower commode - self-propelled ### Assistive Technology - Armchairs - Electric raiser recliner - One-Off specialised armchairs for FlexEquip NDIS Bundle Participants Only - Utility chair - Bedside commode chair - Over toilet aid/Toilet surround - Shower chair/Shower stool - One-Off specialised shower commodes for,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
equipment:flexequip:shower-commode---tilt-in-space,Shower commode - tilt in space,bathroom,FlexEquip,NSW/ACT,,https://flexequip.com.au/product-library/bathroom/shower-commode-tilt-in-space-copy/shower-commodes,Shower commode - tilt in space - Home - Getting Assistive Technology - Product Library - Referral - News - About Us - Contact / Privacy 0 items - Bathroom - Shower commode - Shower commode - tilt in space # Shower commode - tilt in space ### Shower commode - tilt-in-space - Aquatec ### Shower commode - tilt-in-space - KCare ### Shower Commode Accessory - Aquatec Soft Backrest Insert ### Shower Commode Accessory - Aquatec Ocean Ergo Laterals ### Shower Commode Accessory - Aquatec Soft Seat Insert ### Assistive,"Adults in NSW or ACT diagnosed with MND, or eligible NDIS participants, should confirm access with FlexEquip and their health professional.",May be loaned or rented through FlexEquip; NDIS participants may use assistive technology and equipment funding where eligible.,2026-08-29
