image_id,topic,v1_data_topic,source_id,source_title,publisher,source_url,image_url,local_path,relative_image_path,served_url,alt,caption,near_heading,content_type,content_hash,score,retrieved_at
image:fbbc8dbca8712938,support_services,02_australian_support_services,carer-gateway:home,Homepage | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au,https://www.carergateway.gov.au/sites/default/files/styles/large/public/images/2024-10/46-how-access-services-1-call-2.png?itok=DGFuFe6K,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\1 Call. 2 Plan. 3 Arrange. 4 Receive. Find out more on how to access support-fbbc8dbca8.png,images/assets/02_australian_support_services/Carer Gateway/1 Call. 2 Plan. 3 Arrange. 4 Receive. Find out more on how to access support-fbbc8dbca8.png,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/1 Call. 2 Plan. 3 Arrange. 4 Receive. Find out more on how to access support-fbbc8dbca8.png,1 Call. 2 Plan. 3 Arrange. 4 Receive. Find out more on how to access support.,,How to access supports through Carer Gateway service providers,image/png,fbbc8dbca8712938d76aec7a93fb595ed39458bac0aacf9828d64d8c6a1a83d5,14,2026-08-31
image:41d5d84e81cd4416,support_services,02_australian_support_services,carer-gateway:about-us-carer-gateway-campaign,Carer Gateway campaign | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au/about-us/carer-gateway-campaign,https://www.carergateway.gov.au/sites/default/files/images/2024-08/1251-dss-cginfographic-1.png,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\Do you support someone close to you-41d5d84e81.png,images/assets/02_australian_support_services/Carer Gateway/Do you support someone close to you-41d5d84e81.png,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/Do you support someone close to you-41d5d84e81.png,Do you support someone close to you?,,Social media tiles,image/png,41d5d84e81cd44168b2133efeca9856539b21dd40c994d98cd63884e11164f23,14,2026-08-31
image:9bb4427906738314,support_services,02_australian_support_services,carer-gateway:about-us-carer-gateway-campaign,Carer Gateway campaign | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au/about-us/carer-gateway-campaign,https://www.carergateway.gov.au/sites/default/files/images/2024-08/1246-dss-cginfographic-2.png,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\Carers do best when they have help and support-9bb4427906.png,images/assets/02_australian_support_services/Carer Gateway/Carers do best when they have help and support-9bb4427906.png,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/Carers do best when they have help and support-9bb4427906.png,Carers do best when they have help and support.,,Social media tiles,image/png,9bb44279067383146947dbf9ef75dc3bc652d82ecd84492029eb81af64bb87df,14,2026-08-31
image:e1745e5fa621a03a,support_services,02_australian_support_services,carer-gateway:about-us-carer-gateway-campaign,Carer Gateway campaign | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au/about-us/carer-gateway-campaign,https://www.carergateway.gov.au/sites/default/files/images/2024-08/1241-dss-cginfographic-3.png,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\Looking after someone else can be tough. It's OK to ask for support-e1745e5fa6.png,images/assets/02_australian_support_services/Carer Gateway/Looking after someone else can be tough. It's OK to ask for support-e1745e5fa6.png,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/Looking after someone else can be tough. It's OK to ask for support-e1745e5fa6.png,Looking after someone else can be tough. It's OK to ask for support. ,,Social media tiles,image/png,e1745e5fa621a03a0029b4030b442ef5b9fd38711e47e762531d14bef9bdaa1f,14,2026-08-31
image:7d9c4bf570cb5b28,support_services,02_australian_support_services,carer-gateway:about-us-carer-gateway-campaign,Carer Gateway campaign | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au/about-us/carer-gateway-campaign,https://www.carergateway.gov.au/sites/default/files/images/2024-08/1236-dss-cginfographic-4.png,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\It's important to have support when you're caring for someone-7d9c4bf570.png,images/assets/02_australian_support_services/Carer Gateway/It's important to have support when you're caring for someone-7d9c4bf570.png,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/It's important to have support when you're caring for someone-7d9c4bf570.png,It's important to have support when you're caring for someone.,,Social media tiles,image/png,7d9c4bf570cb5b28bf5f29fcb2bdc87c4347cac90d4a5607d5d87001507023fd,14,2026-08-31
image:3819a9faf6768603,support_services,02_australian_support_services,carer-gateway:support-person-you-care,Available support for the person you care for | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au/support-person-you-care,https://www.carergateway.gov.au/sites/default/files/styles/large/public/images/2025-02/1506-ypirac.jpg?itok=xrpx9hPk,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\Australian Government. Department of Social Services. Department of Health and Aged Care. NDIS-3819a9faf6.jpg,images/assets/02_australian_support_services/Carer Gateway/Australian Government. Department of Social Services. Department of Health and Aged Care. NDIS-3819a9faf6.jpg,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/Australian Government. Department of Social Services. Department of Health and Aged Care. NDIS-3819a9faf6.jpg,Australian Government. Department of Social Services. Department of Health and Aged Care. NDIS,,Go to My Lived iD,image/jpeg,3819a9faf6768603565b57974e65b75ccd2d65cdd417a1bdba85631e9fae275e,14,2026-08-31
image:30284c8024e5fab5,support_services,02_australian_support_services,carer-gateway:resource-factsheet-support,Factsheet: Do you know a carer who might need support? | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au/resource/factsheet-support,https://www.carergateway.gov.au/sites/default/files/styles/image_full_size/public/covers/1286-factsheet2.png?itok=MBsXwrbR,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\cover of Factsheet Do you know a carer who might need support-30284c8024.png,images/assets/02_australian_support_services/Carer Gateway/cover of Factsheet Do you know a carer who might need support-30284c8024.png,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/cover of Factsheet Do you know a carer who might need support-30284c8024.png,cover of Factsheet: Do you know a carer who might need support?,,Factsheet: Do you know a carer who might need support? PDF [118.96 KB],image/png,30284c8024e5fab55c5b14a34acf7af6efd8cf5a604858762fa94a97cc8531a2,14,2026-08-31
image:71522c57f405e32b,support_services,02_australian_support_services,carer-gateway:resource-factsheet-support-carers,Factsheet: Support for Carers | Carer Gateway,Carer Gateway,https://www.carergateway.gov.au/resource/factsheet-support-carers,https://www.carergateway.gov.au/sites/default/files/styles/image_full_size/public/covers/1296-factsheet4.png?itok=e9NfA7A2,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\Carer Gateway\cover of Factsheet Support for Carers-71522c57f4.png,images/assets/02_australian_support_services/Carer Gateway/cover of Factsheet Support for Carers-71522c57f4.png,/mnd-data/images/assets/02_australian_support_services/Carer Gateway/cover of Factsheet Support for Carers-71522c57f4.png,cover of Factsheet: Support for Carers,,Factsheet: Support for Carers PDF [315.42 KB],image/png,71522c57f405e32bbfce386b9c84983d60afd524349d89b8da552d6b2671d818,14,2026-08-31
image:7ffc53ac07afb54f,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-210-carer-html,Carer Support,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services/210-carer.html,https://www.mndnsw.org.au/images/2026/4.jpg,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Carer Support-7ffc53ac07.jpg,images/assets/02_australian_support_services/MND NSW/Carer Support-7ffc53ac07.jpg,/mnd-data/images/assets/02_australian_support_services/MND NSW/Carer Support-7ffc53ac07.jpg,,,Carer Support,image/jpeg,7ffc53ac07afb54fdd776569a81f49e288837c33e741e158b5ea1b73b650f531,14,2026-08-31
image:948818baa968712a,support_services,02_australian_support_services,mnd-nsw:what-we-do-support-and-services-210-carer-html,Carer Support,MND NSW,https://www.mndnsw.org.au/what-we-do/support-and-services/210-carer.html,https://www.mndnsw.org.au/media/yootheme/cache/fc/4-fc87eb65.webp,C:\Users\User1\Downloads\MND DATA\images\assets\02_australian_support_services\MND NSW\Carer Support-948818baa9.webp,images/assets/02_australian_support_services/MND NSW/Carer Support-948818baa9.webp,/mnd-data/images/assets/02_australian_support_services/MND NSW/Carer Support-948818baa9.webp,,,Carer Support,image/webp,948818baa968712a6d29509ad47c30fe7df0244cb4a1dd3870bce35042f6723b,14,2026-08-31
